chr	start	end	strand	region_type	Geneid	gene_name	gene_type	hgnc_id	mouse_ortholog	data_contact	date	script
chr21	13525599	13528579	+	Gene|triplicated	ENSG00000228184.1	SNX19P1	processed_pseudogene	HGNC:16765	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13544210	13545185	-	Gene|triplicated	ENSG00000179381.8	OR4K11P	unprocessed_pseudogene	HGNC:15402	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13581060	13582004	-	Gene|triplicated	ENSG00000218549.2	OR4K12P	unprocessed_pseudogene	HGNC:15403	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13609858	13641585	+	Gene|triplicated	ENSG00000166351.10	POTED	protein_coding	HGNC:23822	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13621577	13621683	+	Gene|triplicated	ENSG00000207476.1	RNU6-286P	snRNA	HGNC:47249	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13644775	13644850	-	Gene|triplicated	ENSG00000266299.1	MIR3118-1	miRNA	HGNC:38265	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13654073	13654356	+	Gene|triplicated	ENSG00000278381.1	AL050303.2	processed_pseudogene	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13665868	13667546	-	Gene|triplicated	ENSG00000227874.1	GRAMD4P1	processed_pseudogene	HGNC:39653	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13676022	13677116	+	Gene|triplicated	ENSG00000214319.2	CXADRP1	processed_pseudogene	HGNC:23770	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13679300	13681138	-	Gene|triplicated	ENSG00000279773.1	AL050303.3	TEC	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13704853	13705518	+	Gene|triplicated	ENSG00000273692.1	LONRF2P5	processed_pseudogene	HGNC:54501	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13724189	13724274	+	Gene|triplicated	ENSG00000278618.1	MIR8069-2	miRNA	HGNC:50836	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13762338	13764332	+	Gene|triplicated	ENSG00000229231.1	FEM1AP1	processed_pseudogene	HGNC:17219	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13769932	13771740	+	Gene|triplicated	ENSG00000224922.1	AL050303.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13776086	13777266	+	Gene|triplicated	ENSG00000173231.6	TERF1P1	processed_pseudogene	HGNC:16733	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13792635	13793141	+	Gene|triplicated	ENSG00000232797.1	FAM207CP	processed_pseudogene	HGNC:42676	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13824406	13825635	-	Gene|triplicated	ENSG00000224860.1	GXYLT1P2	processed_pseudogene	HGNC:39677	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13826696	13827627	+	Gene|triplicated	ENSG00000215562.2	CNN2P7	processed_pseudogene	HGNC:39532	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13839118	13839409	+	Gene|triplicated	ENSG00000234538.1	ZNF114P1	processed_pseudogene	HGNC:23771	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13843133	13848364	-	Gene|triplicated	ENSG00000228314.1	CYP4F29P	transcribed_unprocessed_pseudogene	HGNC:2647	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13905960	13906488	-	Gene|triplicated	ENSG00000230965.1	SNX18P13	processed_pseudogene	HGNC:39621	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13909574	13980437	-	Gene|triplicated	ENSG00000215559.8	ANKRD20A11P	transcribed_unprocessed_pseudogene	HGNC:42024	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13936993	13937325	-	Gene|triplicated	ENSG00000203616.2	RHOT1P2	processed_pseudogene	HGNC:37838	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13968489	13968595	-	Gene|triplicated	ENSG00000223287.1	RNU6-954P	snRNA	HGNC:47917	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14000927	14005279	+	Gene|triplicated	ENSG00000183249.8	NF1P3	unprocessed_pseudogene	HGNC:7766	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14007134	14014880	+	Gene|triplicated	ENSG00000233442.2	PPP6R2P1	unprocessed_pseudogene	HGNC:39605	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14019060	14020725	-	Gene|triplicated	ENSG00000275170.1	FRG2MP	processed_pseudogene	HGNC:51799	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14027419	14144468	+	Gene|triplicated	ENSG00000224905.7	AP001347.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14064325	14069087	+	Gene|triplicated	ENSG00000249493.1	ANKRD20A18P	unprocessed_pseudogene	HGNC:23756	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14070871	14070986	+	Gene|triplicated	ENSG00000201812.1	RNA5SP488	rRNA_pseudogene	HGNC:43388	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14075950	14076038	-	Gene|triplicated	ENSG00000277572.1	AP001347.2	misc_RNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14108813	14210891	-	Gene|triplicated	ENSG00000188992.11	LIPI	protein_coding	HGNC:18821	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14143581	14144158	+	Gene|triplicated	ENSG00000240755.1	ERLEC1P1	processed_pseudogene	HGNC:38012	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14216130	14228372	+	Gene|triplicated	ENSG00000185272.14	RBM11	protein_coding	HGNC:9897	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14236206	14362754	+	Gene|triplicated	ENSG00000243064.8	ABCC13	transcribed_unprocessed_pseudogene	HGNC:16022	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14371115	14383484	-	Gene|triplicated	ENSG00000155304.6	HSPA13	protein_coding	HGNC:11375	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14485228	14658821	-	Gene|triplicated	ENSG00000155307.18	SAMSN1	protein_coding	HGNC:10528	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14582202	14598303	+	Gene|triplicated	ENSG00000223662.1	SAMSN1-AS1	lncRNA	HGNC:39599	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14676698	14763090	-	Gene|triplicated	ENSG00000232884.9	AF127936.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14757588	14758352	+	Gene|triplicated	ENSG00000228600.1	POLR2CP1	processed_pseudogene	HGNC:9190	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14774301	14775262	+	Gene|triplicated	ENSG00000225502.2	GAPDHP16	processed_pseudogene	HGNC:23768	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14829154	14829989	-	Gene|triplicated	ENSG00000226406.1	RBMX2P1	processed_pseudogene	HGNC:39923	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14918534	14947096	+	Gene|deleted	ENSG00000235277.1	AF127577.3	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14961235	15065936	-	Gene|deleted	ENSG00000180530.11	NRIP1	protein_coding	HGNC:8001	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14961309	14964233	+	Gene|deleted	ENSG00000229047.1	AF127577.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14971470	14992854	+	Gene|deleted	ENSG00000231201.1	AF127577.2	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15050189	15052379	+	Gene|deleted	ENSG00000279390.1	AF127577.6	TEC	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15067070	15067837	+	Gene|deleted	ENSG00000236471.1	AF127577.5	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15102313	15138649	-	Gene|deleted	ENSG00000288536.1	AF222684.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15190406	15224394	-	Gene|deleted	ENSG00000288555.1	AF222685.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15263421	15283727	-	Gene|deleted	ENSG00000288578.1	AF130248.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15346652	15346738	+	Gene|deleted	ENSG00000280082.1	AF246928.1	TEC	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15368966	15627342	-	Gene|deleted	ENSG00000229425.3	AJ009632.2	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15490530	15490767	-	Gene|deleted	ENSG00000224524.1	CYCSP42	processed_pseudogene	HGNC:2581	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15493932	15496124	-	Gene|deleted	ENSG00000224247.1	AJ009632.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15614283	15614389	+	Gene|deleted	ENSG00000212564.1	RNU6-1326P	snRNA	HGNC:48289	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15694300	15696581	-	Gene|deleted	ENSG00000226298.1	RAD23BP3	processed_pseudogene	HGNC:9814	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15730025	15880069	+	Gene|deleted	ENSG00000155313.15	USP25	protein_coding	HGNC:12624	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15744004	15745080	-	Gene|deleted	ENSG00000234159.1	RBPMSLP	processed_pseudogene	HGNC:9923	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	15928296	16645467	+	Gene|triplicated	ENSG00000215386.13	MIR99AHG	lncRNA	HGNC:1274	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16035413	16035509	-	Gene|triplicated	ENSG00000252273.1	RNU6-426P	snRNA	HGNC:47389	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16094415	16095372	-	Gene|triplicated	ENSG00000214976.2	VDAC2P1	processed_pseudogene	HGNC:12673	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16121310	16121644	-	Gene|triplicated	ENSG00000224602.1	RPS26P5	processed_pseudogene	HGNC:23776	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16284696	16284768	-	Gene|triplicated	ENSG00000201025.1	SNORD74B	snoRNA	HGNC:52234	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16291079	16310382	-	Gene|triplicated	ENSG00000270071.3	AP001172.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16417139	16419080	-	Gene|triplicated	ENSG00000270139.1	AP001172.2	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16505555	16507916	-	Gene|triplicated	ENSG00000287066.1	AP000962.3	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16525919	16527019	+	Gene|triplicated	ENSG00000280432.1	AP000962.2	TEC	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16539089	16539169	+	Gene|triplicated	ENSG00000207638.1	MIR99A	miRNA	HGNC:31650	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16539828	16539911	+	Gene|triplicated	ENSG00000199030.2	MIRLET7C	miRNA	HGNC:31480	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16574718	16582637	-	Gene|triplicated	ENSG00000269950.1	AP000962.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16590237	16590325	+	Gene|triplicated	ENSG00000207863.1	MIR125B2	miRNA	HGNC:31507	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16718998	16719157	+	Gene|triplicated	ENSG00000239023.1	RNU1-98P	snRNA	HGNC:48440	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16754519	16815688	-	Gene|triplicated	ENSG00000237735.2	AF130359.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	16862875	16873691	-	Gene|triplicated	ENSG00000232886.1	AF212831.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17210469	17211347	-	Gene|triplicated	ENSG00000225735.1	NEK4P1	processed_pseudogene	HGNC:39649	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17296219	17296596	+	Gene|triplicated	ENSG00000278181.1	AP000457.1	processed_pseudogene	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17431547	17431647	+	Gene|triplicated	ENSG00000252462.1	RNU6-113P	snRNA	HGNC:47076	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17438821	17450104	+	Gene|triplicated	ENSG00000232560.7	LINC01549	lncRNA	HGNC:1277	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17500679	17500824	-	Gene|triplicated	ENSG00000226580.1	RPL39P40	processed_pseudogene	HGNC:35823	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17506453	17506728	+	Gene|triplicated	ENSG00000266195.2	RN7SL163P	misc_RNA	HGNC:46179	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17513043	17593579	+	Gene|triplicated	ENSG00000154639.19	CXADR	protein_coding	HGNC:2559	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17518526	17518993	-	Gene|triplicated	ENSG00000232260.2	BTF3L4P1	processed_pseudogene	HGNC:39645	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17527140	17527247	-	Gene|triplicated	ENSG00000200754.1	AP000967.2	misc_RNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17576798	17576906	+	Gene|triplicated	ENSG00000199962.1	AP000967.1	misc_RNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17593653	17612947	-	Gene|triplicated	ENSG00000154640.14	BTG3	protein_coding	HGNC:1132	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17611744	17633199	+	Gene|triplicated	ENSG00000280594.1	BTG3-AS1	lncRNA	HGNC:53145	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17659276	17660384	-	Gene|triplicated	ENSG00000226956.1	AP000432.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17705408	17707455	+	Gene|triplicated	ENSG00000279648.1	AP000432.2	TEC	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17763315	17792523	-	Gene|triplicated	ENSG00000240770.5	C21orf91-OT1	lncRNA	HGNC:16729	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17788974	17819386	-	Gene|triplicated	ENSG00000154642.11	C21orf91	protein_coding	HGNC:16459	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17793488	17810845	+	Gene|triplicated	ENSG00000244676.5	AL109761.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17894193	17894485	-	Gene|deleted	ENSG00000215369.3	RPL37P3	processed_pseudogene	HGNC:17238	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17901263	18267373	+	Gene|deleted	ENSG00000154645.14	CHODL	protein_coding	HGNC:17807	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18022370	18114904	-	Gene|deleted	ENSG00000227330.1	AF130417.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18269116	18485879	-	Gene|deleted	ENSG00000154646.9	TMPRSS15	protein_coding	HGNC:9490	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18477358	18486599	-	Gene|deleted	ENSG00000228708.1	AL109763.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18561265	18760320	-	Gene|deleted	ENSG00000224141.6	MIR548XHG	lncRNA	HGNC:52006	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18614431	18650360	+	Gene|deleted	ENSG00000230233.1	AF240627.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18686090	18686164	-	Gene|deleted	ENSG00000265841.1	MIR548X	miRNA	HGNC:38248	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18857779	18858276	+	Gene|deleted	ENSG00000198618.5	PPIAP22	processed_pseudogene	HGNC:17236	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18917213	18917429	+	Gene|deleted	ENSG00000279156.1	AL157359.3	TEC	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18917934	18935859	-	Gene|deleted	ENSG00000232193.1	AL157359.2	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	18953264	18967058	-	Gene|deleted	ENSG00000226204.1	AL157359.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19046310	19047684	-	Gene|deleted	ENSG00000235965.2	AP000431.2	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19130523	19134423	+	Gene|deleted	ENSG00000229289.1	AP000431.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19244543	19246392	+	Gene|deleted	ENSG00000226818.1	SLC6A6P1	processed_pseudogene	HGNC:11053	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19301613	19303739	+	Gene|deleted	ENSG00000231620.1	AP000855.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19345148	19345312	+	Gene|deleted	ENSG00000212609.1	RNU1-139P	snRNA	HGNC:48481	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19593841	19594108	+	Gene|deleted	ENSG00000230198.1	RPL37P4	processed_pseudogene	HGNC:17239	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19620695	19621545	+	Gene|deleted	ENSG00000271486.1	NIPA2P3	processed_pseudogene	HGNC:42043	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19739709	19740150	+	Gene|deleted	ENSG00000229336.1	SREK1IP1P1	processed_pseudogene	HGNC:54504	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19759359	19760128	-	Gene|deleted	ENSG00000215353.2	C1QBPP1	processed_pseudogene	HGNC:1244	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	19893113	19900043	-	Gene|deleted	ENSG00000233480.2	LINC01683	lncRNA	HGNC:52471	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20256752	20258820	-	Gene|deleted	ENSG00000233236.1	LINC02573	lncRNA	HGNC:53730	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20355748	20355852	-	Gene|deleted	ENSG00000251851.1	RNU6-772P	snRNA	HGNC:47735	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20356653	20356896	+	Gene|deleted	ENSG00000252963.1	RN7SKP147	misc_RNA	HGNC:45871	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20388334	20388845	+	Gene|deleted	ENSG00000233676.2	FDPSP6	processed_pseudogene	HGNC:3637	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20424949	20426206	-	Gene|deleted	ENSG00000234439.1	KRT18P2	processed_pseudogene	HGNC:6435	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20430443	20430762	-	Gene|deleted	ENSG00000233206.1	RPS3AP1	processed_pseudogene	HGNC:10422	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20597953	20598163	+	Gene|deleted	ENSG00000276738.1	AP001506.1	processed_pseudogene	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20651450	20803816	-	Gene|deleted	ENSG00000224924.7	LINC00320	lncRNA	HGNC:19690	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20828127	20828622	-	Gene|deleted	ENSG00000215351.3	PPIAP1	processed_pseudogene	HGNC:9254	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	20998409	21543329	+	Gene|deleted	ENSG00000154654.15	NCAM2	protein_coding	HGNC:7657	TRUE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	21223295	21226829	-	Gene|deleted	ENSG00000226771.1	AP001136.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	21566763	21615437	+	Gene|deleted	ENSG00000234730.1	AP001117.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
